exercise_id,muscle_id,role
1,101,Primary
1,103,Stabiliser
1,201,Stabiliser
1,401,Stabiliser
1,402,Stabiliser
1,406,Stabiliser
2,101,Primary
2,103,Stabiliser
2,201,Stabiliser
3,101,Primary
3,103,Stabiliser
4,101,Primary
4,103,Stabiliser
5,101,Primary
5,301,Secondary
5,402,Secondary
5,403,Secondary
5,404,Secondary
5,405,Secondary
5,102,Stabiliser
5,407,Stabiliser
5,501,Stabiliser
5,502,Stabiliser
5,601,Stabiliser
5,702,Stabiliser
6,101,Primary
6,103,Stabiliser
6,201,Stabiliser
6,401,Stabiliser
6,402,Stabiliser
6,407,Stabiliser
7,101,Primary
7,103,Stabiliser
7,201,Stabiliser
7,401,Stabiliser
7,402,Stabiliser
7,407,Stabiliser
8,101,Primary
8,103,Stabiliser
8,201,Stabiliser
8,401,Stabiliser
8,402,Stabiliser
8,407,Stabiliser
9,101,Primary
9,103,Stabiliser
9,201,Stabiliser
9,401,Stabiliser
9,402,Stabiliser
9,407,Stabiliser
10,102,Primary
10,201,Secondary
10,301,Secondary
10,302,Secondary
10,404,Secondary
10,405,Secondary
10,406,Secondary
10,101,Stabiliser
10,403,Stabiliser
11,102,Primary
11,201,Secondary
11,301,Secondary
11,101,Stabiliser
12,102,Primary
12,103,Stabiliser
12,201,Stabiliser
12,203,Stabiliser
12,301,Stabiliser
12,404,Stabiliser
13,102,Primary
13,103,Stabiliser
13,201,Stabiliser
13,301,Stabiliser
14,102,Primary
14,103,Stabiliser
14,201,Stabiliser
14,203,Stabiliser
14,301,Stabiliser
14,404,Stabiliser
15,102,Primary
15,103,Stabiliser
15,201,Stabiliser
15,203,Stabiliser
15,301,Stabiliser
15,404,Stabiliser
16,102,Primary
16,103,Stabiliser
16,201,Stabiliser
16,301,Stabiliser
16,501,Stabiliser
16,502,Stabiliser
17,102,Primary
17,103,Stabiliser
17,203,Stabiliser
17,301,Stabiliser
17,302,Stabiliser
17,403,Stabiliser
17,404,Stabiliser
17,407,Stabiliser
17,501,Stabiliser
17,502,Stabiliser
18,101,Primary
18,104,Stabiliser
18,203,Stabiliser
18,301,Stabiliser
18,302,Stabiliser
18,403,Stabiliser
18,404,Stabiliser
18,407,Stabiliser
18,501,Stabiliser
18,502,Stabiliser
19,102,Primary
19,103,Stabiliser
19,201,Stabiliser
19,301,Stabiliser
20,102,Primary
20,103,Stabiliser
20,104,Stabiliser
20,201,Stabiliser
20,402,Stabiliser
20,403,Stabiliser
20,404,Stabiliser
20,405,Stabiliser
21,102,Primary
21,103,Stabiliser
21,104,Stabiliser
21,201,Stabiliser
21,203,Stabiliser
21,301,Stabiliser
21,404,Stabiliser
22,102,Primary
22,103,Stabiliser
22,104,Stabiliser
23,102,Primary
23,103,Stabiliser
23,201,Stabiliser
23,301,Stabiliser
24,102,Primary
24,101,Stabiliser
24,201,Stabiliser
24,301,Stabiliser
25,102,Primary
25,101,Stabiliser
25,201,Stabiliser
25,301,Stabiliser
25,302,Stabiliser
25,403,Stabiliser
25,404,Stabiliser
25,405,Stabiliser
25,406,Stabiliser
26,102,Primary
26,201,Secondary
26,301,Secondary
26,101,Stabiliser
27,102,Primary
27,201,Secondary
27,301,Secondary
27,302,Secondary
27,404,Secondary
27,405,Secondary
27,406,Secondary
27,101,Stabiliser
27,403,Stabiliser
28,102,Primary
28,301,Secondary
28,201,Secondary
28,101,Stabiliser
28,501,Stabiliser
28,502,Stabiliser
28,701,Stabiliser
29,102,Primary
29,201,Secondary
29,301,Secondary
29,302,Secondary
29,404,Secondary
29,405,Secondary
29,406,Secondary
29,101,Stabiliser
29,403,Stabiliser
30,102,Primary
30,103,Stabiliser
30,203,Stabiliser
30,301,Stabiliser
30,302,Stabiliser
30,404,Stabiliser
30,405,Stabiliser
30,406,Stabiliser
30,407,Stabiliser
30,501,Stabiliser
30,502,Stabiliser
30,701,Stabiliser
