exercise_id,exercise_name,description,type,difficulty,equipment
1,Dumbbell Bicep Curl,"Position two dumbbells to sides, palms facing in, arms straight. With elbows to sides, raise one dumbbell and rotate forearm until forearm is vertical and palm faces shoulder. Lower to original position and repeat with opposite arm. Continue to alternate between sides.",Isolated,Easy,Dumbbell
2,Dumbbell incline curl,"Sit back on 45-60 degree incline bench. With arms hanging down straight, position two dumbbells with palms facing inward. With elbows back to sides, raise one dumbbell and rotate forearm until forearm is vertical and palm faces shoulder. Lower to original position and repeat with opposite arm. Continue to alternate between sides.",Isolated,Easy,Dumbbell
3,Lever isolated curl,Sit on seat and grasp handles with underhand grip. Raise lever handles until elbows are fully flexed with back of upper arm remaining on pad. Lower handles until arm is fully extended. Repeat.,Isolated,Easy,Machine
4,Lever isolated curl,Sit on seat and grasp handles with underhand grip. Raise lever handles until elbows are fully flexed with back of upper arm remaining on pad. Lower handles until arm is fully extended. Repeat.,Isolated,Easy,Machine
5,Inverted Biceps Row,"Also known as Underhand Body Row or Underhand Supine Row. Lay on back under fixed horizontal bar. Fixed bar should be just high enough to allow arm to fully extend. Grasp bar with shoulder width underhand grip. Keeping body straight, pull body up to bar. Return until arms are extended and shoulders are stretched forward. Repeat.",Compound,Hard,Body weight
6,Barbell curl,"Grasp bar with shoulder width underhand grip. With elbows to side, raise bar until forearms are vertical. Lower until arms are fully extended. Repeat. Can be performed with a straight barbell, of in cases of wrist pain - EZ bar.",Isolated,Easy,Barbell
7,Cable curl,"Grasp low pulley cable bar with shoulder width underhand grip. Stand close to pulley. With elbows to side, raise bar until forearms are vertical. Lower until arms are fully extended. Repeat.",Isolated,Easy,Cable
8,Cable isolateral curl,"Stand between or facing double low pulleys. Grasp stirrups to each side, palms facing forward. Pull stirrups forward and upward toward shoulders while keeping elbows stationary. Return until arms are fully extended. Repeat.",Isolated,Easy,Cable
9,Cable alternating isolateral curl,"Stand between or facing double low pulleys. Grasp stirrups to each side, palms facing forward. Pull one stirrup up forward and upward toward shoulder while keeping elbow stationary. Return until arm is fully extended. Repeat on other arm, alternating between sides.",Isolated,Easy,Cable
10,Machine-assisted triceps dip,"Mount shoulder width dip bar, arms straight with shoulders above hands. Step down onto assistance lever. Keep hips and knees straight. Lower body until slight stretch is felt in shoulders. Push body up until arms are straight. Repeat.",Compound,Medium,Machine
11,Barbell close grip bench press,Lie on bench and grasp barbell from rack with shoulder width grip. Lower weight to chest with elbows close to body. Push barbell back up until arms are straight. Repeat.,Compound,Hard,Barbell
12,Barbell lying triceps extension,"Lie on bench with narrow overhand grip on barbell. Position barbell over forehead with arms extended. Lower bar by bending elbows. As bar nears head, move elbows slightly back just enough to allow bar to clear around curvature of head. Extend arms. As bar clears head, reposition elbows to their former position until arms are fully extended. Repeat. Can be performed with a straight barbell, but EZ barbell is recommended.",Isolated,Hard,Barbell
13,Barbell triceps extension,"Sit on utility weight bench with barbell. Position barbell overhead with narrow overhand grip. Lower barbell behind upper shoulders by flexing elbows allowing forearms to travel behind upper arms with elbows remaining overhead. Raise barbell overhead by extending elbows until arms are positioned straight and vertical. Lower and repeat. Can be performed with a straight barbell, but EZ barbell is recommended.",Isolated,Easy,Barbell
14,Barbell lying triceps extension “skull crusher”,Lie on bench with narrow overhand grip on barbell. Position barbell over shoulders with arms extended. Lower bar to forehead by bending elbows. Extend arms and repeat.,Isolated,Hard,Barbell
15,Cable lying triceps extension,"Lie on bench and grasp bar with narrow overhand grip. With arms extended, position bar over face. Lower bar by bending elbow. As bar nears head, move elbows slightly back just enough to allow bar to clear around curvature of head. Extend arm. As bar clears head, reposition elbows to its former position until arm is fully extended. Repeat.",Isolated,Medium,Cable
16,Cable bent-over triceps extension,"Grasp cable bar from medium-high pulley with narrow or shoulder width overhand grip. Turn body away from pulley apparatus and position turned cable bar behind neck. Bend over downward with cable bar positioned behind neck, gripped at each side. Lunge forward with one leg. Allow elbows to be pulled back under cable resistance. Extend forearms forward until elbows are straight. Allow cable bar to return back over neck. Repeat.",Isolated,Medium,Cable
17,Cable pushdown,Face high pulley and grasp cable attachment with narrow overhand grip. Position elbows to side. Extend arms down. Return until forearm is close to upper arm. Repeat.,Isolated,Easy,Cable
18,Cable one arm pushdown,Grasp dumbbell cable attachment with underhand grip. Position elbow to side. Extend arm down. Return until forearm is close to upper arm. Repeat. Continue with opposite arm.,Isolated,Medium,Cable
19,Cable triceps extension,Stand or sit on bench or seat with back support just below shoulders. Position cable bar behind neck or shoulders with narrow overhand grip. Position elbows overhead. Raise cable bar overhead by extending elbows until arms are positioned straight and vertical. Lower cable bar behind neck by flexing elbows allowing forearms to travel behind upper arms with elbows remaining overhead. Repeat. Can be done with rope,Isolated,Easy,Cable
20,Dumbbell kickback,Kneel over bench with arm supporting body. Grasp dumbbell. Position upper arm parallel to floor. Extend arm until it is straight. Return and repeat. Continue with opposite arm.,Isolated,Easy,Dumbbell
21,Dumbbell lying extension,Lie on bench and position dumbbells over head with arms extended. Lower dumbbells by bending elbow until they are to sides of head. Extend arm. Repeat.,Isolated,Medium,Dumbbell
22,Dumbbell one arm triceps extension (on bench),Position dumbbell behind neck with elbow positioned upward. Extend arm until straight while maintaining upper arm's vertical position throughout exercise. Return until dumbbell is behind neck or shoulder and repeat. Continue with opposite arm.,Isolated,Easy,Dumbbell
23,Dumbbell triceps extension,"Position one dumbbell over head with both hands under inner plate (heart shaped grip). With elbows over head, lower forearm behind upper arm by flexing elbows. Flex wrists at bottom to avoid hitting dumbbell on back of neck. Raise dumbbell over head by extending elbows while hyperextending wrists. Return and repeat.",Isolated,Easy,Dumbbell
24,Lever isolateral close grip bench press ,Lie on bench with lever handles above sides of chest. Grasp handles with narrow overhand grip just above each side of chest. Press lever up until arms are extended. Return weights down to starting position. Repeat.,Compound,Medium,Machine
25,Lever triceps dip,"Sit upright on seat. If possible, place handles in narrow position. Grasp handles. Push levers down with elbows pointing back. Allow lever bar to raise until shoulders are slightly stretched. Repeat.",Compound,Easy,Machine
26,Smith close grip bench press ,Lie on bench with bar above chest and grasp bar with shoulder width or slightly narrower grip. Disengage bar by rotating bar back. Lower weight to chest with elbows close to body. Push bar back up until arms are straight. Repeat.,Compound,Medium,Smith machine
27,Weighted triceps dip,"Place weight on dip belt around waist or place dumbbell between lower legs just above feet. Mount shoulder width dip bar, arms straight with shoulders above hands. Keep hips straight. Lower body until slight stretch is felt in shoulders. Push body up until arms are straight. Repeat.",Compound,Hard,Weights
